race_name,horse_name,distance,surface,age,weight,odds,place,win_flag
Japan Derby 2025,Croix du Nord,2400,Turf,3,57,2.1,1,1
Satsuki Sho 2025,Croix du Nord,2000,Turf,3,57,1.5,2,0
Hopeful Stakes 2025,Croix du Nord,2000,Turf,3,56,1.8,1,1
Oaks 2025,Kamunyak,2400,Turf,3,55,14.3,1,1
Yasuda Kinen 2025,Jantar Mantar,1600,Turf,4,58,4.3,1,1
Ouka Sho 2025,Embroidery,1600,Turf,3,55,5,1,1
Oaks 2025,Embroidery,2400,Turf,3,55,3.3,9,0
Victoria Mile 2025,Ascoli Piceno,1600,Turf,4,58.5,2.5,1,1
Satsuki Sho 2025,Museum Mile,2000,Turf,3,57,10.6,1,1
Japan Derby 2025,Museum Mile,2400,Turf,3,57,5.7,6,0